Sale_ID,Product_Name,Category,Quantity,Unit_Price,Discount(%),Salesperson,Region,Payment_Method,Date,Total_Amount,Discount_Amount,Final_Amount
S1034,Mouse,Electronics,7,42374,28,Hannah,North,Net Banking,04-02-23,296618,83053.04,213564.96
S1035,Smartphone,Wearables,2,14359,9,Eve,South,Net Banking,05-02-23,28718,2584.62,26133.38
S1036,Smartphone,Office Supplies,4,31919,7,Charlie,West,Cash,06-02-23,127676,8937.32,118738.68
S1037,Printer,Office Supplies,9,9205,23,Alice,West,Debit Card,07-02-23,82845,19054.35,63790.65
S1038,Smartphone,Wearables,2,43380,15,Frank,West,UPI,08-02-23,86760,13014,73746
S1039,Mouse,Electronics,9,23736,16,Eve,North,Cash,09-02-23,213624,34179.84,179444.16
S1040,Mouse,Office Supplies,5,22919,25,David,West,Debit Card,10-02-23,114595,28648.75,85946.25
S1041,Camera,Wearables,2,20478,26,Charlie,West,Net Banking,11-02-23,40956,10648.56,30307.44
S1042,Keyboard,Office Supplies,4,38109,4,Grace,South,UPI,12-02-23,152436,6097.44,146338.56
S1043,Laptop,Wearables,7,15858,3,Grace,East,Debit Card,13-02-23,111006,3330.18,107675.82
S1044,Tablet,Electronics,8,34677,17,Frank,South,Cash,14-02-23,277416,47160.72,230255.28
S1045,Smartwatch,Electronics,3,29878,23,Bob,South,Net Banking,15-02-23,89634,20615.82,69018.18
S1046,Smartphone,Accessories,1,37834,18,Grace,East,Net Banking,16-02-23,37834,6810.12,31023.88
S1047,Printer,Office Supplies,4,11882,3,Bob,East,Credit Card,17-02-23,47528,1425.84,46102.16
S1048,Smartphone,Accessories,2,15096,27,Charlie,West,Cash,18-02-23,30192,8151.84,22040.16
S1049,Smartwatch,Electronics,8,34072,6,Charlie,South,UPI,19-02-23,272576,16354.56,256221.44
S1050,Keyboard,Wearables,4,13721,9,Hannah,North,Net Banking,20-02-23,54884,4939.56,49944.44
S1051,Camera,Electronics,2,1779,24,Frank,South,Credit Card,21-02-23,3558,853.92,2704.08
S1052,Mouse,Electronics,6,46460,17,David,East,Debit Card,22-02-23,278760,47389.2,231370.8
S1053,Camera,Wearables,6,7583,18,Alice,West,Net Banking,23-02-23,45498,8189.64,37308.36
S1054,Monitor,Accessories,4,44361,3,Eve,West,Debit Card,24-02-23,177444,5323.32,172120.68
S1055,Smartphone,Office Supplies,6,18271,9,Grace,West,Net Banking,25-02-23,109626,9866.34,99759.66
S1056,Laptop,Electronics,2,30475,0,David,North,Debit Card,26-02-23,60950,0,60950
S1057,Monitor,Electronics,2,46148,22,Hannah,North,Cash,27-02-23,92296,20305.12,71990.88
S1058,Keyboard,Office Supplies,4,48785,17,Eve,East,Debit Card,28-02-23,195140,33173.8,161966.2
S1059,Smartphone,Electronics,8,19563,4,Frank,West,Debit Card,01-03-23,156504,6260.16,150243.84
S1060,Monitor,Office Supplies,7,2606,14,Eve,South,Net Banking,02-03-23,18242,2553.88,15688.12
S1061,Smartphone,Office Supplies,9,25057,16,Alice,West,Net Banking,03-03-23,225513,36082.08,189430.92
S1062,Printer,Office Supplies,8,49354,2,Eve,South,Debit Card,04-03-23,394832,7896.64,386935.36
S1063,Keyboard,Wearables,5,21107,11,Frank,South,Cash,05-03-23,105535,11608.85,93926.15
S1064,Tablet,Accessories,2,38099,1,David,North,UPI,06-03-23,76198,761.98,75436.02
S1065,Mouse,Accessories,5,29029,0,Alice,West,Credit Card,07-03-23,145145,0,145145
S1066,Headphones,Wearables,8,36454,22,Bob,East,Debit Card,08-03-23,291632,64159.04,227472.96
S1067,Mouse,Accessories,9,28356,20,Hannah,West,Cash,09-03-23,255204,51040.8,204163.2
S1068,Mouse,Accessories,9,3073,16,Eve,West,Debit Card,10-03-23,27657,4425.12,23231.88
S1069,Monitor,Accessories,1,13308,21,Charlie,East,Credit Card,11-03-23,13308,2794.68,10513.32
S1070,Keyboard,Electronics,9,35867,15,Grace,East,UPI,12-03-23,322803,48420.45,274382.55
S1071,Smartphone,Wearables,7,37301,4,Eve,West,UPI,13-03-23,261107,10444.28,250662.72
S1072,Camera,Accessories,9,41696,14,Bob,East,Debit Card,14-03-23,375264,52536.96,322727.04
S1073,Headphones,Wearables,8,34572,2,Eve,South,Credit Card,15-03-23,276576,5531.52,271044.48
S1074,Smartwatch,Accessories,1,24252,27,Frank,North,Debit Card,16-03-23,24252,6548.04,17703.96
S1075,Monitor,Accessories,8,18185,6,David,East,Net Banking,17-03-23,145480,8728.8,136751.2
S1076,Headphones,Wearables,8,41901,10,David,South,UPI,18-03-23,335208,33520.8,301687.2
S1077,Tablet,Office Supplies,3,11872,9,Charlie,North,Cash,19-03-23,35616,3205.44,32410.56
S1078,Printer,Wearables,1,9496,8,Hannah,East,Cash,20-03-23,9496,759.68,8736.32
S1079,Keyboard,Office Supplies,8,16958,13,Charlie,North,Cash,21-03-23,135664,17636.32,118027.68
S1080,Smartwatch,Electronics,3,32389,12,Hannah,West,Credit Card,22-03-23,97167,11660.04,85506.96
S1081,Monitor,Wearables,3,27165,28,Frank,East,Credit Card,23-03-23,81495,22818.6,58676.4
S1082,Mouse,Office Supplies,1,38743,24,Grace,South,UPI,24-03-23,38743,9298.32,29444.68
S1083,Laptop,Accessories,5,32153,29,Hannah,South,Credit Card,25-03-23,160765,46621.85,114143.15
S1084,Monitor,Electronics,7,27157,24,David,North,Net Banking,26-03-23,190099,45623.76,144475.24
S1085,Laptop,Wearables,9,40452,1,David,South,UPI,27-03-23,364068,3640.68,360427.32
S1086,Mouse,Office Supplies,7,22680,2,Bob,South,UPI,28-03-23,158760,3175.2,155584.8
S1087,Printer,Office Supplies,9,32396,6,Hannah,East,Net Banking,29-03-23,291564,17493.84,274070.16
S1088,Keyboard,Wearables,8,13375,20,Frank,North,Net Banking,30-03-23,107000,21400,85600
S1089,Smartphone,Office Supplies,2,2122,17,Bob,South,Net Banking,31-03-23,4244,721.48,3522.52
S1090,Monitor,Wearables,1,49256,2,Bob,West,Debit Card,01-04-23,49256,985.12,48270.88
S1091,Camera,Office Supplies,7,41309,9,Alice,East,Cash,02-04-23,289163,26024.67,263138.33
S1092,Mouse,Accessories,7,17225,21,David,South,Cash,03-04-23,120575,25320.75,95254.25
S1093,Monitor,Wearables,8,41260,28,Charlie,South,UPI,04-04-23,330080,92422.4,237657.6
S1094,Tablet,Wearables,5,16146,6,Charlie,South,Net Banking,05-04-23,80730,4843.8,75886.2
S1095,Printer,Electronics,3,17529,8,Frank,East,Credit Card,06-04-23,52587,4206.96,48380.04
S1096,Tablet,Accessories,8,29902,16,Hannah,East,Net Banking,07-04-23,239216,38274.56,200941.44
S1097,Headphones,Wearables,6,4763,10,Bob,North,UPI,08-04-23,28578,2857.8,25720.2
S1098,Keyboard,Office Supplies,3,31487,6,David,East,Cash,09-04-23,94461,5667.66,88793.34
S1099,Headphones,Office Supplies,1,47328,23,Hannah,South,Debit Card,10-04-23,47328,10885.44,36442.56
S1100,Monitor,Office Supplies,3,48424,27,Bob,South,Net Banking,11-04-23,145272,39223.44,106048.56
S1101,Smartwatch,Electronics,5,9146,13,Hannah,West,Cash,12-04-23,45730,5944.9,39785.1
S1102,Smartwatch,Wearables,3,28029,18,Alice,East,UPI,13-04-23,84087,15135.66,68951.34
S1103,Keyboard,Office Supplies,1,12164,3,Hannah,South,UPI,14-04-23,12164,364.92,11799.08
S1104,Camera,Electronics,5,36237,25,Charlie,West,Cash,15-04-23,181185,45296.25,135888.75
S1105,Printer,Electronics,7,36296,5,Grace,North,Cash,16-04-23,254072,12703.6,241368.4
S1106,Camera,Wearables,7,24527,9,Hannah,North,Net Banking,17-04-23,171689,15452.01,156236.99
S1107,Printer,Office Supplies,9,29873,6,Alice,North,Credit Card,18-04-23,268857,16131.42,252725.58
S1108,Mouse,Accessories,3,36897,12,Hannah,South,Net Banking,19-04-23,110691,13282.92,97408.08
S1109,Monitor,Office Supplies,7,21109,13,Eve,South,Debit Card,20-04-23,147763,19209.19,128553.81
S1110,Headphones,Accessories,1,36335,3,Alice,North,Cash,21-04-23,36335,1090.05,35244.95
S1111,Smartwatch,Accessories,4,39209,7,Grace,West,Debit Card,22-04-23,156836,10978.52,145857.48
S1112,Tablet,Office Supplies,4,19750,4,Eve,North,Debit Card,23-04-23,79000,3160,75840
S1113,Smartphone,Accessories,5,21672,0,Alice,East,Credit Card,24-04-23,108360,0,108360
S1114,Laptop,Electronics,7,12055,3,David,South,Net Banking,25-04-23,84385,2531.55,81853.45
S1115,Smartphone,Electronics,7,22374,2,Bob,South,UPI,26-04-23,156618,3132.36,153485.64
S1116,Headphones,Office Supplies,4,13581,8,Alice,East,Debit Card,27-04-23,54324,4345.92,49978.08
S1117,Headphones,Wearables,7,24563,7,Grace,South,Debit Card,28-04-23,171941,12035.87,159905.13
S1118,Printer,Electronics,3,7319,0,Frank,East,Debit Card,29-04-23,21957,0,21957
S1119,Camera,Office Supplies,6,26212,26,Bob,North,Debit Card,30-04-23,157272,40890.72,116381.28
S1120,Smartphone,Accessories,2,25262,5,Alice,North,UPI,01-05-23,50524,2526.2,47997.8
S1121,Printer,Electronics,9,11546,8,Bob,South,Net Banking,02-05-23,103914,8313.12,95600.88
S1122,Printer,Office Supplies,5,31963,6,Hannah,South,Credit Card,03-05-23,159815,9588.9,150226.1
S1123,Camera,Office Supplies,6,29269,3,Alice,North,Debit Card,04-05-23,175614,5268.42,170345.58
S1124,Tablet,Wearables,4,23650,12,Eve,East,Cash,05-05-23,94600,11352,83248
S1125,Smartwatch,Accessories,7,3211,16,Grace,North,UPI,06-05-23,22477,3596.32,18880.68
S1126,Keyboard,Accessories,9,5353,27,Charlie,East,Credit Card,07-05-23,48177,13007.79,35169.21
S1127,Smartwatch,Accessories,7,29577,1,Charlie,West,Cash,08-05-23,207039,2070.39,204968.61
S1128,Laptop,Office Supplies,1,24363,27,Grace,North,Cash,09-05-23,24363,6578.01,17784.99
S1129,Smartphone,Office Supplies,1,22292,4,Frank,East,Cash,10-05-23,22292,891.68,21400.32
S1130,Smartwatch,Accessories,9,40983,11,Grace,East,Debit Card,11-05-23,368847,40573.17,328273.83
S1131,Keyboard,Office Supplies,9,9442,26,Hannah,East,Net Banking,12-05-23,84978,22094.28,62883.72
S1132,Mouse,Wearables,4,48775,20,Grace,South,Debit Card,13-05-23,195100,39020,156080
S1133,Smartphone,Office Supplies,9,49094,7,Grace,South,Cash,14-05-23,441846,30929.22,410916.78
S1134,Keyboard,Office Supplies,3,2262,5,Bob,West,Credit Card,15-05-23,6786,339.3,6446.7
S1135,Printer,Electronics,7,32487,7,Charlie,West,Debit Card,16-05-23,227409,15918.63,211490.37
S1136,Headphones,Wearables,6,16350,17,Frank,East,Credit Card,17-05-23,98100,16677,81423
S1137,Tablet,Electronics,8,12612,2,Bob,South,Debit Card,18-05-23,100896,2017.92,98878.08
S1138,Laptop,Accessories,9,24558,21,Charlie,East,Net Banking,19-05-23,221022,46414.62,174607.38
S1139,Keyboard,Accessories,5,45920,11,Grace,South,Net Banking,20-05-23,229600,25256,204344
S1140,Smartwatch,Wearables,1,39390,28,Charlie,South,Debit Card,21-05-23,39390,11029.2,28360.8
S1141,Headphones,Office Supplies,3,981,25,David,West,Debit Card,22-05-23,2943,735.75,2207.25
S1142,Smartwatch,Electronics,8,47804,2,Alice,East,Net Banking,23-05-23,382432,7648.64,374783.36
S1143,Smartphone,Wearables,6,33421,21,Alice,East,Credit Card,24-05-23,200526,42110.46,158415.54
S1144,Keyboard,Electronics,8,40885,5,Eve,South,Net Banking,25-05-23,327080,16354,310726
S1145,Smartwatch,Office Supplies,9,2024,1,Hannah,South,Debit Card,26-05-23,18216,182.16,18033.84
S1146,Camera,Electronics,4,35388,22,Grace,North,Credit Card,27-05-23,141552,31141.44,110410.56
S1147,Monitor,Wearables,1,15548,11,Grace,West,Debit Card,28-05-23,15548,1710.28,13837.72
S1148,Headphones,Office Supplies,1,35611,1,David,North,UPI,29-05-23,35611,356.11,35254.89
S1149,Mouse,Office Supplies,4,38404,5,David,South,Debit Card,30-05-23,153616,7680.8,145935.2
S1150,Headphones,Wearables,7,34508,16,Hannah,East,Net Banking,31-05-23,241556,38648.96,202907.04
S1151,Smartwatch,Office Supplies,2,560,2,Frank,South,Cash,01-06-23,1120,22.4,1097.6
S1152,Smartwatch,Electronics,3,9630,1,Charlie,North,Net Banking,02-06-23,28890,288.9,28601.1
S1153,Laptop,Accessories,1,18523,22,Eve,West,Net Banking,03-06-23,18523,4075.06,14447.94
S1154,Camera,Wearables,5,45580,29,David,South,Credit Card,04-06-23,227900,66091,161809
S1155,Mouse,Electronics,1,13850,19,Bob,East,UPI,05-06-23,13850,2631.5,11218.5
S1156,Tablet,Office Supplies,8,24854,7,Alice,North,Credit Card,06-06-23,198832,13918.24,184913.76
S1157,Laptop,Accessories,1,45686,21,Grace,South,Debit Card,07-06-23,45686,9594.06,36091.94
S1158,Smartphone,Electronics,1,28645,11,Alice,East,Cash,08-06-23,28645,3150.95,25494.05
S1159,Mouse,Wearables,2,34520,25,David,East,Net Banking,09-06-23,69040,17260,51780
S1160,Keyboard,Office Supplies,2,21087,3,David,South,Cash,10-06-23,42174,1265.22,40908.78
S1161,Monitor,Wearables,6,41631,4,Bob,North,Cash,11-06-23,249786,9991.44,239794.56
S1162,Laptop,Electronics,7,10150,12,Bob,East,Debit Card,12-06-23,71050,8526,62524
S1163,Monitor,Accessories,5,20433,28,Alice,West,Debit Card,13-06-23,102165,28606.2,73558.8
S1164,Camera,Electronics,1,21081,14,Hannah,North,Cash,14-06-23,21081,2951.34,18129.66
S1165,Smartphone,Electronics,1,23893,24,Alice,East,Net Banking,15-06-23,23893,5734.32,18158.68
S1166,Smartphone,Office Supplies,3,23551,22,David,South,Debit Card,16-06-23,70653,15543.66,55109.34
S1167,Tablet,Wearables,2,26712,15,Alice,South,Net Banking,17-06-23,53424,8013.6,45410.4
S1168,Smartphone,Electronics,5,49582,9,Grace,North,Debit Card,18-06-23,247910,22311.9,225598.1
S1169,Smartwatch,Electronics,6,4590,29,Hannah,East,Net Banking,19-06-23,27540,7986.6,19553.4
S1170,Headphones,Accessories,7,7460,29,David,East,Net Banking,20-06-23,52220,15143.8,37076.2
S1171,Headphones,Accessories,4,36272,24,David,North,UPI,21-06-23,145088,34821.12,110266.88
S1172,Tablet,Wearables,7,22020,22,Alice,North,Debit Card,22-06-23,154140,33910.8,120229.2
S1173,Smartwatch,Wearables,8,49981,15,Charlie,North,UPI,23-06-23,399848,59977.2,339870.8
S1174,Headphones,Office Supplies,1,36908,11,Eve,West,Cash,24-06-23,36908,4059.88,32848.12
S1175,Keyboard,Wearables,6,28970,16,David,West,Net Banking,25-06-23,173820,27811.2,146008.8
S1176,Smartwatch,Accessories,8,20991,15,Frank,West,Net Banking,26-06-23,167928,25189.2,142738.8
S1177,Camera,Wearables,5,1841,11,Frank,South,Credit Card,27-06-23,9205,1012.55,8192.45
S1178,Printer,Electronics,4,45123,7,David,West,Debit Card,28-06-23,180492,12634.44,167857.56
S1179,Monitor,Wearables,2,25291,19,Eve,West,Cash,29-06-23,50582,9610.58,40971.42
S1180,Smartwatch,Wearables,6,838,2,Charlie,West,Cash,30-06-23,5028,100.56,4927.44
S1181,Monitor,Office Supplies,6,6395,15,David,East,Debit Card,01-07-23,38370,5755.5,32614.5
S1182,Keyboard,Electronics,1,12754,29,Grace,West,Credit Card,02-07-23,12754,3698.66,9055.34
S1183,Printer,Office Supplies,9,11844,12,Eve,North,Credit Card,03-07-23,106596,12791.52,93804.48
S1184,Mouse,Accessories,6,2250,22,Eve,West,Debit Card,04-07-23,13500,2970,10530
S1185,Tablet,Wearables,3,2921,27,Alice,South,Net Banking,05-07-23,8763,2366.01,6396.99
S1186,Smartwatch,Wearables,4,40387,18,Charlie,South,Net Banking,06-07-23,161548,29078.64,132469.36
S1187,Tablet,Accessories,4,5819,7,Grace,West,Cash,07-07-23,23276,1629.32,21646.68
S1188,Smartphone,Office Supplies,3,16396,21,Hannah,North,Debit Card,08-07-23,49188,10329.48,38858.52
S1189,Monitor,Electronics,3,12418,4,Alice,North,Net Banking,09-07-23,37254,1490.16,35763.84
S1190,Monitor,Office Supplies,3,25564,19,Frank,East,Credit Card,10-07-23,76692,14571.48,62120.52
S1191,Smartphone,Office Supplies,4,47117,7,Grace,North,Debit Card,11-07-23,188468,13192.76,175275.24
S1192,Mouse,Electronics,7,28435,23,Frank,East,Cash,12-07-23,199045,45780.35,153264.65
S1193,Laptop,Wearables,4,38141,11,Grace,East,Net Banking,13-07-23,152564,16782.04,135781.96
S1194,Camera,Office Supplies,9,30211,0,Grace,North,Net Banking,14-07-23,271899,0,271899
S1195,Smartwatch,Accessories,1,5306,24,Charlie,North,Credit Card,15-07-23,5306,1273.44,4032.56
S1196,Monitor,Electronics,8,41860,29,Eve,East,Net Banking,16-07-23,334880,97115.2,237764.8
S1197,Camera,Wearables,7,12682,20,Grace,South,Net Banking,17-07-23,88774,17754.8,71019.2
S1198,Monitor,Electronics,2,22797,19,Charlie,West,Credit Card,18-07-23,45594,8662.86,36931.14
S1199,Laptop,Accessories,8,20041,5,Hannah,South,Credit Card,19-07-23,160328,8016.4,152311.6
S1200,Smartphone,Electronics,1,29421,21,David,North,Cash,20-07-23,29421,6178.41,23242.59
S1201,Laptop,Electronics,9,17274,17,David,North,Debit Card,21-07-23,155466,26429.22,129036.78
S1202,Monitor,Office Supplies,9,45313,7,Eve,East,Net Banking,22-07-23,407817,28547.19,379269.81
S1203,Smartphone,Accessories,2,37698,6,Charlie,West,Net Banking,23-07-23,75396,4523.76,70872.24
S1204,Laptop,Accessories,7,9320,0,Hannah,North,Credit Card,24-07-23,65240,0,65240
S1205,Mouse,Accessories,3,24570,20,Alice,West,Cash,25-07-23,73710,14742,58968
S1206,Smartphone,Electronics,7,4732,15,Grace,South,Net Banking,26-07-23,33124,4968.6,28155.4
S1207,Smartwatch,Accessories,9,11622,11,Grace,West,Cash,27-07-23,104598,11505.78,93092.22
S1208,Monitor,Accessories,4,15523,5,Charlie,South,UPI,28-07-23,62092,3104.6,58987.4
S1209,Keyboard,Accessories,1,8507,19,Grace,North,Credit Card,29-07-23,8507,1616.33,6890.67
S1210,Tablet,Office Supplies,2,18405,1,David,North,Net Banking,30-07-23,36810,368.1,36441.9
S1211,Monitor,Accessories,1,42286,28,Eve,East,Cash,31-07-23,42286,11840.08,30445.92
S1212,Smartwatch,Electronics,5,29898,13,David,South,Debit Card,01-08-23,149490,19433.7,130056.3
S1213,Headphones,Office Supplies,5,34768,3,Frank,South,Cash,02-08-23,173840,5215.2,168624.8
S1214,Camera,Accessories,7,7237,0,Bob,West,Cash,03-08-23,50659,0,50659
S1215,Camera,Accessories,9,36562,22,Hannah,East,UPI,04-08-23,329058,72392.76,256665.24
S1216,Tablet,Office Supplies,9,26010,17,Frank,East,Net Banking,05-08-23,234090,39795.3,194294.7
S1217,Monitor,Accessories,3,19926,12,Bob,East,Net Banking,06-08-23,59778,7173.36,52604.64
S1218,Tablet,Electronics,3,37765,1,David,South,Credit Card,07-08-23,113295,1132.95,112162.05
S1219,Printer,Electronics,3,18350,8,Alice,North,Cash,08-08-23,55050,4404,50646
S1220,Monitor,Accessories,4,1114,20,Eve,North,Debit Card,09-08-23,4456,891.2,3564.8
S1221,Smartphone,Electronics,8,22276,1,Grace,West,UPI,10-08-23,178208,1782.08,176425.92
S1222,Smartphone,Office Supplies,6,24577,26,Alice,West,Cash,11-08-23,147462,38340.12,109121.88
S1223,Printer,Accessories,8,9874,24,Bob,South,Debit Card,12-08-23,78992,18958.08,60033.92
S1224,Mouse,Office Supplies,1,35935,8,David,North,Credit Card,13-08-23,35935,2874.8,33060.2
S1225,Printer,Electronics,8,31407,0,David,East,UPI,14-08-23,251256,0,251256
S1226,Printer,Accessories,4,13909,10,Hannah,North,Net Banking,15-08-23,55636,5563.6,50072.4
S1227,Tablet,Office Supplies,1,17014,2,David,West,Net Banking,16-08-23,17014,340.28,16673.72
S1228,Laptop,Electronics,8,30366,19,Frank,North,Cash,17-08-23,242928,46156.32,196771.68
S1229,Smartphone,Accessories,4,3483,29,Eve,East,UPI,18-08-23,13932,4040.28,9891.72
S1230,Laptop,Wearables,6,32205,22,Alice,West,Debit Card,19-08-23,193230,42510.6,150719.4
S1231,Printer,Electronics,8,21162,25,David,South,Credit Card,20-08-23,169296,42324,126972
S1232,Mouse,Electronics,4,24010,3,David,North,Credit Card,21-08-23,96040,2881.2,93158.8
S1233,Smartphone,Wearables,3,13151,17,Bob,North,Net Banking,22-08-23,39453,6707.01,32745.99
S1234,Monitor,Wearables,9,41498,22,Hannah,South,Net Banking,23-08-23,373482,82166.04,291315.96
S1235,Monitor,Office Supplies,3,29035,5,David,South,Credit Card,24-08-23,87105,4355.25,82749.75
S1236,Monitor,Electronics,9,7140,2,David,East,Net Banking,25-08-23,64260,1285.2,62974.8
S1237,Smartwatch,Wearables,2,45047,21,Grace,North,Credit Card,26-08-23,90094,18919.74,71174.26
S1238,Tablet,Accessories,2,15817,10,David,West,Cash,27-08-23,31634,3163.4,28470.6
S1239,Headphones,Electronics,2,8064,14,Frank,North,Debit Card,28-08-23,16128,2257.92,13870.08
S1240,Printer,Office Supplies,6,27845,21,Eve,East,UPI,29-08-23,167070,35084.7,131985.3
S1241,Headphones,Wearables,3,48788,27,Grace,West,Cash,30-08-23,146364,39518.28,106845.72
S1242,Keyboard,Electronics,9,29187,4,Hannah,West,UPI,31-08-23,262683,10507.32,252175.68
S1243,Tablet,Electronics,4,14237,19,Frank,West,Credit Card,01-09-23,56948,10820.12,46127.88
S1244,Monitor,Wearables,1,9823,9,Eve,East,Debit Card,02-09-23,9823,884.07,8938.93
S1245,Smartphone,Wearables,4,15729,11,Eve,North,Cash,03-09-23,62916,6920.76,55995.24
S1246,Tablet,Wearables,1,44981,14,Frank,West,Net Banking,04-09-23,44981,6297.34,38683.66
S1247,Smartwatch,Electronics,5,9002,16,Hannah,South,UPI,05-09-23,45010,7201.6,37808.4
S1248,Smartphone,Wearables,4,1045,9,Hannah,East,UPI,06-09-23,4180,376.2,3803.8
S1249,Laptop,Wearables,8,37614,5,Bob,West,Net Banking,07-09-23,300912,15045.6,285866.4
S1250,Smartwatch,Electronics,8,29930,17,Hannah,East,Cash,08-09-23,239440,40704.8,198735.2
S1251,Laptop,Electronics,7,10496,12,Frank,South,Net Banking,09-09-23,73472,8816.64,64655.36
S1252,Smartphone,Office Supplies,3,28288,2,David,West,UPI,10-09-23,84864,1697.28,83166.72
S1253,Monitor,Accessories,1,30469,29,Frank,North,Net Banking,11-09-23,30469,8836.01,21632.99
S1254,Headphones,Electronics,1,49043,23,Frank,East,UPI,12-09-23,49043,11279.89,37763.11
S1255,Printer,Accessories,3,14419,9,Grace,West,Cash,13-09-23,43257,3893.13,39363.87
S1256,Tablet,Office Supplies,6,4310,29,Alice,West,Debit Card,14-09-23,25860,7499.4,18360.6
S1257,Tablet,Office Supplies,7,31086,13,David,East,Cash,15-09-23,217602,28288.26,189313.74
S1258,Monitor,Wearables,6,40474,5,Charlie,South,Net Banking,16-09-23,242844,12142.2,230701.8
S1259,Printer,Office Supplies,6,42273,2,Alice,East,Net Banking,17-09-23,253638,5072.76,248565.24
S1260,Laptop,Wearables,6,16871,15,Eve,North,Cash,18-09-23,101226,15183.9,86042.1
S1261,Headphones,Wearables,3,45584,6,Grace,South,Debit Card,19-09-23,136752,8205.12,128546.88
S1262,Printer,Electronics,6,30129,19,Eve,North,UPI,20-09-23,180774,34347.06,146426.94
S1263,Laptop,Electronics,8,8936,13,Charlie,North,Net Banking,21-09-23,71488,9293.44,62194.56
S1264,Printer,Accessories,2,13484,8,David,East,Net Banking,22-09-23,26968,2157.44,24810.56
S1265,Keyboard,Wearables,5,33539,14,Frank,West,Cash,23-09-23,167695,23477.3,144217.7
S1266,Tablet,Wearables,1,20395,20,David,South,UPI,24-09-23,20395,4079,16316
S1267,Keyboard,Accessories,1,18655,2,Grace,North,UPI,25-09-23,18655,373.1,18281.9
S1268,Printer,Wearables,5,11116,1,David,West,Net Banking,26-09-23,55580,555.8,55024.2
